availability_365,reviews_per_month,number_of_reviews,minimum_nights,calculated_host_listings_count,latitude,longitude,churned,room_type_Hotel room,room_type_Private room,room_type_Shared room,churn_predicted
271,0.49,58,31,11,45.50769,-73.56964,0,False,False,False,0
270,0.23,28,32,7,45.51369,-73.66125,0,False,True,False,0
127,0.44,52,31,4,45.50971,-73.55458,0,False,False,False,1
178,0.0,0,31,1,45.48152,-73.62962,1,False,False,False,1
251,0.6,70,31,11,45.50769,-73.56964,0,False,False,False,0
136,0.05,6,180,11,45.51177,-73.56672,0,False,False,False,1
86,0.94,112,7,4,45.53226,-73.63913,0,False,False,False,0
123,0.21,25,31,2,45.52043,-73.58381,0,False,False,False,1
2,2.36,283,1,2,45.53464,-73.57172,0,False,False,False,0
281,2.55,304,31,2,45.53319,-73.58308,0,False,False,False,0
218,0.13,13,31,3,45.50677,-73.56193,0,False,False,False,1
106,0.57,68,31,1,45.52318,-73.61257,0,False,False,False,1
0,0.49,58,1,13,45.50449,-73.5625,1,False,False,False,1
32,0.51,60,7,1,45.53742,-73.56719,0,False,False,False,1
364,0.0,0,31,1,45.53416301978574,-73.57601700754005,1,False,False,False,0
212,2.18,257,31,1,45.50876,-73.55246,0,False,False,False,0
0,1.37,162,2,19,45.52473,-73.58492,1,False,False,False,1
0,1.48,177,2,19,45.5247277,-73.5849083,1,False,False,False,1
346,0.25,26,32,7,45.51397,-73.66317,0,False,True,False,0
152,0.29,34,32,3,45.48857,-73.64448,0,False,False,False,1
2,0.83,97,7,2,45.53088,-73.58535,0,False,False,False,1
172,0.47,40,5,2,45.53088,-73.58675,0,False,False,False,1
68,0.22,26,32,1,45.52228,-73.56999,0,False,False,False,1
363,0.06,7,290,1,45.54638,-73.64147,0,False,False,False,1
2,0.19,22,31,8,45.50824,-73.63066,0,False,False,False,1
35,0.18,21,80,4,45.53249,-73.6376,0,False,True,False,1
252,0.61,71,31,2,45.51346,-73.57011,0,False,False,False,0
190,0.74,86,3,1,45.55479,-73.66718,0,False,False,False,0
87,0.38,45,31,1,45.52198,-73.58012,0,False,False,False,1
2,0.99,118,60,2,45.54782,-73.6368,0,False,False,False,1
263,0.01,1,31,1,45.47659,-73.58323,0,False,False,False,1
